smiles,pka_acidic,group
O=[N+]([O-])c1ccc(S(=O)(=O)O)cc1,-7.15,None
O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,-7.1,None
O=S(=O)(O)c1cccc(C(F)(F)F)c1,-6.93,None
O=S(=O)(O)c1ccc(Br)cc1,-6.72,None
C[n+]1ccc2ccccc2c1S,-2.13,None
N#Cc1c[nH+]c2ccccc2c1O,-2.08,None
Oc1[nH+]ncc2ccccc12,-2,None
Oc1cccn[nH+]1,-1.8,None
Oc1cccc[n+]1OCc1ccccc1,-1.7,None
O=[N+]([O-])c1cc[n+](O)cc1,-1.7,None
[O-][n+]1c2ccccc2[n+](O)c2ccccc21,-1.62,None
Sc1ccc2ccccc2[nH+]1,-1.44,None
C[n+]1ccccc1S,-1.42,None
CO[n+]1ccccc1O,-1.3,None
Sc1cccc[nH+]1,-1.22,None
Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(O)[nH+]1,-0.97,None
Cc1cc(C#N)cc[n+]1O,-0.67,None
Cc1cc(C#N)cc(C)[n+]1O,-0.61,None
Nc1cc(N2CCOCC2)nc(N)n1,-0.35,None
Oc1cn[nH+]c2ccccc12,-0.35,None
CCOC(=O)c1cc(C)[n+](O)c(C)c1,-0.13,None
C[n+]1ccncc1O,-0.04,None
Cc1cc(C(=O)O)cc(C)[n+]1O,-0.01,None
CCCCOC(=O)c1ccc[n+](O)c1,0.03,None
Oc1cc2ccccc2n[nH+]1,0.21,None
O=C(O)C(F)(F)F,0.23,None
Cn1cnc2c1c(O)[nH+]c([O-])[n+]2C,0.3,None
Oc1c2ccccc2[nH+]c2ccccc12,0.32,None
C[n+]1ccccc1O,0.32,None
O=C1C(=O)C(c2ccccc2)C1=O,0.37,None
Cc1cc(O)cc(C)[o+]1,0.38,None
O=C(O)c1[nH]c2ccccc2[nH+]1,0.4,None
Cc1nc2ccccc2[nH+]c1O,0.48,None
CCCCNC(O)=S,0.67,None
N#CC1C=CN(Cc2cccc(F)c2)C=C1C(N)=O,0.68,None
Cc1cnc(-c2ccccc2)c(O)[nH+]1,0.7,None
O[n+]1ccccc1,0.77,None
Sc1cc[nH+]c2ccccc12,0.77,None
Cn1c(C(=O)O)cc(=O)n(C)c1=O,0.8,None
CCSc1nccc(O)[n+]1C,0.9,None
Cc1cccc(C(=O)O)[nH+]1,0.9,None
CCNC(O)=S,0.92,None
Nc1[nH+]c2nc[nH]c2c(N)[n+]1O,1,None
C[NH+](C)c1ccc(C=Cc2cc[n+](O)cc2)cc1,1.05,None
Oc1cc[nH+]nc1,1.07,None
O=C(O)c1cc(-c2ccccc2)n[nH+]c1NCC[NH+]1CCOCC1,1.1,None
O[n+]1c2ccccc2nc2ccccc21,1.12,None
Cc1nc2c(n1C)C(=O)c1nc[nH+]c(O)c1C2=O,1.15,None
Cc1cc(O)[nH+]c(O)[nH+]1,1.2,None
O=[N+]([O-])c1cccc(S(=O)O)c1,1.21,None
O=C(O)C(=O)c1ccccc1,1.22,None
O=C(O)c1cccc[nH+]1,1.25,None
O=CC(=O)O,1.26,None
Cc1cc[n+](O)cc1,1.29,None
[NH3+]C(CC(=O)O)c1cccc[nH+]1,1.3,None
Oc1nc2ccccc2c[nH+]1,1.3,None
Nc1ccc[nH+]c1C(=O)O,1.33,None
CC(=O)C1C(=O)OC(=O)C=C1C,1.34,None
Cc1ccc(C(=O)C(=O)O)cc1C,1.36,None
O[n+]1c2ccccc2cc2ccccc21,1.37,None
C[NH+](C)c1ccccc1C(=O)O,1.4,None
O=C(O)c1ccc([N+](=O)[O-])c2cccnc12,1.41,None
O=C(O)c1c(Cl)cccc1[N+](=O)[O-],1.41,None
Cc1ccc(C)c(C(=O)C(=O)O)c1,1.45,None
CC(O)C(=O)C1=Nc2c(nc(N)[nH+]c2O)NC1,1.45,None
N#Cc1nn[nH]c1C#N,1.47,None
O=C(O)C(Cl)=NO,1.5,None
O=C(O)c1cc(=O)cco1,1.5,None
O=C(O)c1cc(=O)cc(-c2ccccc2)o1,1.51,None
C[NH+]1CSCC1C(=O)O,1.51,None
Cc1ccc(C(=O)C(=O)O)cc1,1.52,None
Oc1ccc(N=Nc2nccs2)c(O)c1,1.56,None
O=[N+]([O-])c1n[nH]c(-n2cnc(Cl)n2)n1,1.59,None
O=[N+]([O-])c1cc([N+](=O)[O-])c2nnn(O)c2c1,1.6,None
COc1nc(C)cc(O)[nH+]1,1.6,None
O=[N+]([O-])c1n[nH]c(-n2cnc(Br)n2)n1,1.63,None
CCC#CC#CC#CC(=O)O,1.67,None
[NH3+]C(Cc1ccc[nH+]c1)C(=O)O,1.69,None
CC(C)Cc1cnc(CC(C)C)c(O)[nH+]1,1.7,None
O=C(O)c1cc[nH+]cc1,1.71,None
O=S(O)c1ccccc1,1.72,None
C[n+]1ccc(C(=O)O)cc1,1.72,None
COc1cnc[nH+]c1O,1.75,None
O=C1NS(=O)(=O)c2ccccc21,1.76,None
O=C(O)c1ccc2ccccc2[nH+]1,1.79,None
O=C(O)C#CC[NH+]1CCOCC1,1.79,None
Cc1ccc(S(=O)O)cc1,1.82,None
Cn1c[nH+]cc1CC([NH3+])C(=O)O,1.84,None
Cn1cnc2c(O)[nH+]cnc21,1.86,None
O=S(O)Cc1ccccc1,1.86,None
C#CC(=O)O,1.89,None
O=S(O)CCc1ccccc1,1.89,None
Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(O)[nH+]1,1.9,None
O=C(O)c1cccc2ccc[nH+]c12,1.9,None
O=C(O)C#CBr,1.9,None
N#CC(O)=C(C#N)C#N,1.9,None
CCC#CC#CC(=O)O,1.91,None
O=C(O)C1CC(O)C[NH2+]1,1.92,None
[NH3+]C(Cc1ccccc1)c1nnn[nH]1,1.93,None
CC1SC(C)(C(=O)O)OC1=O,1.94,None
C=C(C)C1C[NH2+]C(C(=O)O)C1CC(=O)OC,1.95,None
Cc1ccc(C=CC(=O)C(=O)O)cc1,1.96,None
O=C(O)C(=O)C=Cc1ccccc1,1.97,None
CC[NH+](CC)CC(=O)O,1.98,None
C[NH+](C)CC(=O)O,1.99,None
CC1CCC2C(C)CCC(C(=O)O)[NH+]2C1,2,None
[NH3+]CCNC(=S)S,2,None
O=[N+]([O-])c1n[nH]c(-n2cncn2)n1,2,None
C[n+]1cnc2nc[nH]c2c1O,2,None
C=C(C)C1C[NH2+]C(C(=O)O)C1CC(N)=O,2.01,None
O=c1c(O)c1-c1ccccc1,2.01,None
O=C(O)c1cccc([N+](=O)[O-])c1Cl,2.02,None
COc1cc[n+](O)cc1,2.05,None
O=S(O)CCCc1ccccc1,2.05,None
Sc1cccc2ccc[nH+]c12,2.05,None
O=C(O)c1ccc([N+](=O)[O-])o1,2.06,None
O=c1c(O)c1-c1ccc(F)cc1,2.07,None
Clc1nnn[nH]1,2.07,None
Cc1cc(C(N)=O)cc(C)[n+]1O,2.08,None
N[n+]1ccccc1O,2.1,None
O=C(O)Cn1nnnc1-c1ccccc1,2.11,None
O=C(O)Cn1ncnn1,2.12,None
