smiles,pka_acidic,source,neutral_flag
O=C1NCCCc2c1oc1ccc(O)cc21,9.53,SAMPL6,1
O=C(Nc1nnc(Cc2ccccc2)s1)c1cccs1,7.02,SAMPL6,1
O=C(Nc1cccc2cccnc12)c1cncc(Br)c1,11.74,SAMPL6,1
Cc1ccc2[nH]c(=O)c(CC(=O)O)c(-c3ccccc3)c2c1,4.22,SAMPL6,1
O=C(CNC(=O)c1ccccc1)Nc1nc2ccccc2s1,9.02,SAMPL6,1
Oc1ccc(-n2cnc3ccccc32)cc1,8.94,SAMPL6,1
O=C(Nc1ccncc1)c1c(Cl)cccc1Cl,10.65,SAMPL6,1
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1,9.58,SAMPL6,1
CCOc1ccc2nc(NC(=O)Cc3ccc(Cl)c(Cl)c3)sc2c1,9.56,SAMPL6,1
O=C1NC(=O)/C(=C\c2cccc(OCc3ccc(Cl)cc3Cl)c2)S1,5.7,SAMPL6,1
Oc1c(I)cc(I)c2cccnc12,7.43,SAMPL6,1
O=C(CCc1nc2ccccc2c(=O)[nH]1)[N-]c1ncc(Cc2ccc(F)c(F)c2)s1,11.02,SAMPL6,0
O=C(CCc1ccccc1)NS(=O)(=O)c1ccccc1,4.49,SAMPL7,1
CC(=O)NS(=O)(=O)CCc1ccccc1,4.91,SAMPL7,1
CC1(NS(=O)(=O)CCc2ccccc2)COC1,10.45,SAMPL7,1
CS(=O)(=O)NC1(CCc2ccccc2)COC1,10.05,SAMPL7,1
O=S(=O)(NC1(CCc2ccccc2)COC1)c1ccccc1,10.29,SAMPL7,1
CN(C)S(=O)(=O)NC1(CCc2ccccc2)COC1,11.02,SAMPL7,1
CS(=O)(=O)NC1(CCc2ccccc2)CSC1,10.45,SAMPL7,1
CN(C)S(=O)(=O)NC1(CCc2ccccc2)CSC1,11.93,SAMPL7,1
CS(=O)(=O)NC1(CCc2ccccc2)C[S+]([O-])C1,9.87,SAMPL7,1
O=S(=O)(NC1(CCc2ccccc2)C[S+]([O-])C1)c1ccccc1,9.8,SAMPL7,1
CN(C)S(=O)(=O)NC1(CCc2ccccc2)C[S+]([O-])C1,10.33,SAMPL7,1
CS(=O)(=O)NC1(CCc2ccccc2)CS(=O)(=O)C1,9.44,SAMPL7,1
O=S1(=O)CC(CCc2ccccc2)(NS(=O)(=O)c2ccccc2)C1,10.22,SAMPL7,1
CN(C)S(=O)(=O)NC1(CCc2ccccc2)CS(=O)(=O)C1,9.58,SAMPL7,1
CS(=O)(=O)Nc1cc(-c2ccccc2)on1,5.22,SAMPL7,1
O=S(=O)(Nc1cc(-c2ccccc2)on1)c1ccccc1,6.62,SAMPL7,1
CN(C)S(=O)(=O)Nc1cc(-c2ccccc2)on1,5.62,SAMPL7,1
CS(=O)(=O)Nc1cn(-c2ccccc2)nn1,6.34,SAMPL7,1
O=S(=O)(Nc1cn(-c2ccccc2)nn1)c1ccccc1,5.93,SAMPL7,1
CN(C)S(=O)(=O)Nc1cn(-c2ccccc2)nn1,6.42,SAMPL7,1
