Substructure	SMARTS	new_index	Index   	Acid_or_base
1	"[SX4:0](=[O:1])(=[O:2])([O:3]-[C,c,N,n:4])-[OX2:5]-[H:6]"	5	6	A
2	"[SX4:0](=[O:1])(=[O:2])(-[C,c,N,n:3])-[OX2:4]-[H:5]"	4	5	A
3	[SX3:0](=[O:1])-[O:2]-[H:3]	2	3	A
4	"[c,n,o:0]-[C:1](=[O:2])-[O:3]-[H:4]"	3	4	A
5	[C:0](=[O:1])-[O:2]-[H:3]	2	3	A
6	"[C,c,N,n:0](=[O,S:1])-[SX2,OX2:2]-[H:3]"	2	3	A
7	"[c,n:0]-[SX2:1]-[H:2]"	1	2	A
8	"[C,N:0]-[SX2:1]-[H:2]"	1	2	A
9	[PX4:0](=[O:1])(-[OX2:2]-[H:3])(-[O+0:4])-[OX2:5]-[H:6]	"2,5"	"3,6"	A
10	"[PX4:0](=[O:1])(-[OX2:2]-[H:3])(-[C,c,N,n:4])-[OX2:5]-[H:6]"	"2,5"	"3,6"	A
11	"[PX4:0](=[O:1])(-[O:2]-[H:3])(-[H:4])-[C,c:5]"	2	3	A
12	"[c,n,o:0]-[O:1]-[H:2]"	1	2	A
13	"[O:0]([$(C=O),$(C[Cl]),$(CF),$(C[Br]),$(CC#N):1])-[O:2]-[H:3]"	2	3	A
14	[C:0]-[O:1]-[O:2]-[H:3]	2	3	A
15	[O:0]=[C;R:1]-[C;R:2]=[C;R:3]-[O:4]-[H:5]	4	5	A
16	[C:0]=[C:1]-[O:2]-[H:3]	2	3	A
17	[C:0]-[O:1]-[H:2]	1	2	A
18	[C:0](=[O:1])-[N:2]-[O:3]-[H:4]	3	4	A
19	"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]"	3	6	A
20	"[O,S:0]=[C;R:1]-[N;R:2]([C;R:3]=[O,S:4])-[H:5]"	2	5	A
21	"[F,Cl,Br,S,s,P,p:0][#6:1][CX3:2](=[O,S:3])-[NX3+0:4]([CX3:5]=[O,S:6])-[H:7]"	4	7	A
22	"[O,S:0]=[CX3:1]-[NX3+0:2]([CX3:3]=[O,S:4])-[H:5]"	2	5	A
23	"[C:0](=[O:1])-[N:2](-[Br,Cl,I,F,S,O,N,P:3])-[H:4]"	2	4	A
24	[C:0](=[O:1])-[N:2]-[H:3]	2	3	A
25	[SX4:0](=[O:1])(=[O:2])-[NX3+0:3]-[H:4]	3	4	A
26	"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]"	4	5	A
27	"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n,F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl,Br,I:5])-[OX2:6]-[H:7]"	6	7	A
28	"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n,F,Cl,Br,I:3])(-[C,c,N,n,F,Cl,Br,I:4])-[OX2:5]-[H:6]"	5	6	A
29	[n:0]-[H:1]	0	1	A
30	"[PX4:0](=[O:1])(=[O:2])(-[C,c,N,n:3])-[OX2:4]-[H:5]"	4	5	A
31	"[C:0](-[C,c:1])=[NX2:2]-[O:3]-[H:4]"	3	4	A
32	[CX4:0]-[NX3:1](-[H:2])-[CX3:3](=[NX2:4])-[SH:5]	1	2	A
33	[CX3:0](=[OX1:1])-[CX4:2]-[NX3:3](-[H:4])-[cX3:5]	3	4	A
34	[CX3:0](=[OX1:1])-[CX4:2]-[NX3H1:3](-[H:4])-[CX3:5]=[NX2H0:6]	3	4	A
